rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Charles Harding,https://www.charles-harding.co.uk/,85,66,100,90,60,100,100
2,McFarlane,https://www.mcfarlaneproperty.com/,85,72,88,98,55,100,100
3,Chappells,https://www.chappells.uk.com/,77,76,75,91,43,80,100
4,Richard James,https://richardjames.uk/,71,34,88,91,66,100,33
5,Connells Swindon Old Town,https://www.connells.co.uk/estate-agents/swindon-old-town,68,56,88,83,64,20,100
6,Location Real Estate,https://locationrealestate.co.uk/,65,52,100,95,35,0,100
7,Taylors Swindon,https://www.taylorsestateagents.co.uk/branch/estate-agents/swindon,62,71,88,97,50,0,33
8,Atwell Martin Swindon,https://swindon.atwellmartin.co.uk/,47,50,100,70,0,0,33
