rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,BPE Solicitors,https://www.bpe.co.uk/,73,66,88,73,58,60,100
2,Willans,https://www.willans.co.uk/,69,79,33,78,80,80,
3,Setfords Cheltenham,https://www.setfords.co.uk/locations/gloucestershire/solicitors-in-cheltenham/,66,94,100,,29,20,67
4,Pembridge Solicitors,https://pembridgesolicitors.co.uk/,63,59,100,76,46,40,33
5,Hine Solicitors,https://www.hinesolicitors.com/,62,81,100,72,33,0,67
6,Converse Law,https://www.converselaw.com/,56,67,63,76,37,20,67
7,Davis Gregory,https://www.cheltenhamsolicitors.co.uk/,53,75,50,78,39,0,67
8,HCR Law,https://www.hcrlaw.com/,50,95,33,69,0,40,
