rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,BPE Solicitors,https://www.bpe.co.uk/,74,66,88,75,58,60,100
2,Willans,https://www.willans.co.uk/,72,79,33,94,80,80,
3,Setfords Cheltenham,https://www.setfords.co.uk/locations/gloucestershire/solicitors-in-cheltenham/,66,94,100,,29,20,67
4,Pembridge Solicitors,https://pembridgesolicitors.co.uk/,65,59,100,86,46,40,33
5,Hine Solicitors,https://www.hinesolicitors.com/,63,81,100,74,33,0,67
6,Converse Law,https://www.converselaw.com/,57,67,63,78,37,20,67
7,Davis Gregory,https://www.cheltenhamsolicitors.co.uk/,57,75,50,98,39,0,67
8,HCR Law,https://www.hcrlaw.com/,51,95,33,73,0,40,
