name,url,gbp_query
Wollens,https://wollens.co.uk/,Wollens Solicitors Exeter
Porter Dodson,https://www.porterdodson.co.uk/,Porter Dodson Solicitors Exeter
Amicus Law,https://www.amicuslaw.co.uk/,Amicus Law Solicitors Exeter
Gilbert Stephens,https://gilbertstephens.co.uk/,Gilbert Stephens Solicitors Exeter
WBW Solicitors,https://www.wbw.co.uk/,WBW Solicitors Exeter
Stephens Scown,https://www.stephens-scown.co.uk/,Stephens Scown Solicitors Exeter
Setfords Exeter,https://www.setfords.co.uk/locations/devon/solicitors-in-exeter/,Setfords Solicitors Exeter
Dunn & Baker,https://www.dunnandbaker.co.uk/,Dunn and Baker Solicitors Exeter
