name,url,gbp_query
Fairfield Banks,http://www.fairfieldbanks.co.uk/,Fairfield Banks architectural practice Bath
Paragon Structures,https://www.paragonstructures.com/,Paragon Structures architectural practice Bath
Stonewood Design,http://www.stonewooddesign.co.uk/,Stonewood Design architectural practice Bath
Axon Architects,https://axonarchitects.co.uk/contact-us/,Axon Architects architectural practice Bath
RHaR - Rhodes Architects LLP,http://www.rhar.co.uk/,RHaR - Rhodes Architects LLP architectural practice Bath
Kashdan Brown Architects,http://www.kashdanbrown.co.uk/,Kashdan Brown Architects architectural practice Bath
Hambury Hird Design Ltd,https://www.hamburyhird.co.uk/,Hambury Hird Design Ltd architectural practice Bath
INK Architecture,http://ink-architecture.co.uk/,INK Architecture architectural practice Bath
Ailtire Architects,http://www.ailtire.com.au/,Ailtire Architects architectural practice Bath
Flawless,http://flawlessdesignandbuild.co.uk/,Flawless architectural practice Bath
The Rez Group,https://www.therez.group/,The Rez Group architectural practice Bath
Chapter Interiors,https://chapterinteriors.co.uk/,Chapter Interiors architectural practice Bath
Donald Insall Associates,http://www.donaldinsallassociates.co.uk/,Donald Insall Associates architectural practice Bath
iPerimeter Ltd,http://iperimeter.co.uk/,iPerimeter Ltd architectural practice Bath
Anthony Paine Limited,http://www.anthonypaine.com/,Anthony Paine Limited architectural practice Bath
YOU&ME Architecture,http://www.youandmearchitecture.com/,YOU&ME Architecture architectural practice Bath
VASS Architects,http://www.vassarchitects.co.uk/,VASS Architects architectural practice Bath
Moon DESIGN,https://www.designbymoon.co.uk/,Moon DESIGN architectural practice Bath
LucyEdwards3D,http://lucyedwards3d.com/,LucyEdwards3D architectural practice Bath
mimetico,http://mimetico.uk/,mimetico architectural practice Bath
Smartarch Ltd,http://www.smartarch.co.uk/,Smartarch Ltd architectural practice Bath
