name,url,gbp_query
Richard James,https://richardjames.uk/,Richard James Estate Agents Swindon
McFarlane,https://www.mcfarlaneproperty.com/,McFarlane Estate Agents Swindon
Charles Harding,https://www.charles-harding.co.uk/,Charles Harding Estate Agents Swindon
Connells Swindon Old Town,https://www.connells.co.uk/estate-agents/swindon-old-town,Connells Estate Agents Swindon Old Town
Location Real Estate,https://locationrealestate.co.uk/,Location Real Estate Swindon Old Town
Taylors Swindon,https://www.taylorsestateagents.co.uk/branch/estate-agents/swindon,Taylors Estate Agents Swindon
Chappells,https://www.chappells.uk.com/,Chappells Estate Agents Swindon
Atwell Martin Swindon,https://swindon.atwellmartin.co.uk/,Atwell Martin Estate Agents Swindon
